activity_group,fatal_percent
Diving/Snorkeling,17.857142857142858
Swimming/Wading,14.671814671814673
Fishing,13.596491228070176
Other/Unknown,9.606986899563319
Surfing,6.950207468879668
Paddling,5.714285714285714
Boating,0.0
