date,year,country,state,location,activity,injury,time,species,unnamed_21,unnamed_22,incident_date,month,decade,sex_clean,age_numeric,age_group,fatal,activity_group,incident_type
25-Apr-2008,2008,USA,California,"Solana Beach, San Diego County",Swimming,FATAL,07h00,"White shark, 12' to 15'",,,,,2000,M,66,60+,Yes,Swimming/Wading,Unprovoked
20-Apr-2008,2008,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Cuts & punctures to right foot,08h45,,,,,,2000,M,14,0–17,No,Surfing,Unprovoked
20-Apr-2008,2008,AUSTRALIA,New South Wales,Crescent Head,,,,"Tiger shark, 2.3m",,,,,2000,M,,Unknown,Unknown,Other/Unknown,Unprovoked
Reported 19-Apr-2008,2008,SOUTH AFRICA,KwaZulu-Natal,Aliwal Shoal,Free-diving,"As he pushd the shark away from his camera, his finger was cut on a tooth",,"Tiger shark, 13' female",,,,,2000,M,,Unknown,Unknown,Diving/Snorkeling,Questionable
18-Apr-2008,2008,MEXICO,Quintana Roo,"Delfines Beach, Cancun",Swimming,Probable drowning with post-mortem bites,Evening,"Reported by media as shark attack, but shark involvement prior to death was not confirmed",,,,,2000,M,32,30–44,Unknown,Swimming/Wading,Questionable
17-Apr-2008,2008,AUSTRALIA,Queensland,"Duranbah, Greenmount Beach",Surfing,2 puncture wounds to leg,11h00,Shark involvement not confirmed; thought to be a barracuda bite,,,,,2000,M,19,18–29,Unknown,Surfing,Questionable
15-Apr-2008,2008,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,Puncture wounds to right foot,15h00,1.5' to 2' shark,,,,,2000,M,30,30–44,No,Surfing,Unprovoked
Reported 09-Apr-2008,2008,FIJI,,,Spearfishing,Left forearm bitten,,,,,,,2000,M,,Unknown,No,Fishing,Unprovoked
25-Mar-2008,2008,USA,Florida,"Palm Beach Shores, Palm Beach County",Wading,Shin bitten,,6' shark,,,,,2000,M,15,0–17,No,Swimming/Wading,Unprovoked
Reported 08-Apr-2008,2008,USA,Florida,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Surfing,Foot bitten,,,,,,,2000,Unknown,,Unknown,No,Surfing,Unprovoked
08-Apr-2008,2008,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Body boarding,FATAL,08h05,Bull shark,,,,,2000,M,16,0–17,Yes,Surfing,Unprovoked
03-Apr-2008,2008,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,Right foot & ankle bitten,12h00,,,,,,2000,M,18,18–29,No,Surfing,Unprovoked
28-Mar-2008,2008,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Fishing from surfski,Right leg bitten,,,,,,,2000,M,39,30–44,No,Surfing,Unprovoked
28-Mar-2008,2008,USA,Florida,"New Smyrna Beach / Ponce Inlet, Volusia County",Surfing,Foot bitten,18h50,4' to 5' shark,,,,,2000,M,52,45–59,No,Surfing,Unprovoked
28-Mar-2008,2008,USA,Florida,"Near Cocoa Beach, Brevard County",Boogie Boarding,Right foot bitten,,a small shark,,,,,2000,M,,Unknown,No,Surfing,Unprovoked
23-Mar-2008,2008,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,Three small lacerations/ punctures to right foot,11h30,2.5' shark,,,,,2000,M,13,0–17,No,Surfing,Unprovoked
21-Mar-2008,2008,USA,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Wading,Two 3-inch lacerations to right ankle,15h53,,,,,,2000,M,14,0–17,No,Swimming/Wading,Unprovoked
15-Mar-2008,2008,USA,Florida,"Lovers Key State Park, Bonita Springs, Lee County",Jet skiing,Minor injury,Afternoon,Shark involvement not confirmed,,,,,2000,M,8,0–17,No,Other/Unknown,Unprovoked
07-Mar-2008,2008,USA,California,"Huntington Beach, Orange County",Surfing,"No injury to surfer, surfboard bitten by the shark",08h00,White shark,,,,,2000,M,27,18–29,No,Surfing,Unprovoked
24-Feb-2008,2008,BAHAMAS,Northern Bahamas,"Dive site known as ""The End of the Map""",Diving,"Leg bitten, FATAL",10h00,"A bull shark, according to some of the divers on the boat",,,,,2000,M,49,45–59,Yes,Diving/Snorkeling,Unprovoked
Reported 21-Feb-2008,2008,FRENCH POLYNESIA,Society Islands,Tahiti,Spearfishing,Lacerations to face,,,,,,,2000,M,26,18–29,No,Fishing,Unprovoked
15-Feb-2008,2008,USA,Florida,"Ponce Inlet, Volusia County",Surfing,Lacerations to foot,17h00,,,,,,2000,M,25,18–29,No,Surfing,Unprovoked
07-Feb-2008,2008,AUSTRALIA,New South Wales,Horseshoe Bay,Surfing,Abrasions to elbow; collided with shark,,1 m shark,,,,,2000,F,14,0–17,No,Surfing,Unprovoked
06-Feb-2008,2008,USA,Florida,"Opposite Patrick Air Force Base, Brevard County",Surf-skiing,Lacerations to foot,,3' shark,,,,,2000,M,,Unknown,No,Surfing,Unprovoked
2008.01.30,2008,JAPAN,Tokyo Bay,,Diving,"No injury, captive shark attempted to bite diver's arm PROVOKED INCIDENTt",,"Goblin shark, 4.2'",,,,,2000,M,,Unknown,Unknown,Diving/Snorkeling,Provoked
29-Jan-2008,2008,SOUTH AFRICA,KwaZulu-Natal,"Suncoast Pirates Beach, Durban",Surf-skiing,"No injury to surf-skiier, shark holed ski",,"Blacktip shark, 2m",,,,,2000,M,42,30–44,No,Surfing,Unprovoked
27-Jan-2008,2008,AUSTRALIA,Queensland,200 km east of Coolangatta,Accidentally stood on hooked shark's tail before attempting to gut it,Laceration to left knee PROVOKED INCIDENT,07h30,"Mako shark, 90kg",,,,,2000,M,20,18–29,No,Other/Unknown,Provoked
Reported 19-Jan-2008,2008,NEW ZEALAND,South Island,Marfells Beach,Wading,"Stingray envenomation, not a shark",,No shark involvement,,,,,2000,M,,Unknown,Unknown,Swimming/Wading,Questionable
14-Jan-2008,2008,NEW ZEALAND,North Island,Omaha Beach,Attempting to chase shark out to sea,"No injury to occupants, pontoon punctured",14h00,"Bronze whaler shark, 4m",,,,,2000,Unknown,,Unknown,No,Other/Unknown,Watercraft
10-Jan-2008,2008,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,Left foot bitten,,a small shark,,,,,2000,M,20,18–29,No,Surfing,Unprovoked
Fall 2008,2008,USA,Florida,"Off Fort Pierce, St. Lucie County",Fishing for snapper,Minor injury to hand by hooked shark PROVOKED INCIDENT,,"Nurse shark, 10'",,,,,2000,M,,Unknown,No,Fishing,Provoked
Summer-2008,2008,MEXICO,Baja California,Playas de Tijuana,Surfing,Leg bitten,,Possibly a hammerhead shark,,,,,2000,M,26,18–29,No,Surfing,Unprovoked
21-Dec-2007,2007,ECUADOR,Galapagos Islands,San Cristobal Island,Surfing,Lacerations & puncture wounds to left thigh,,3 m shark,,,,,2000,M,24,18–29,No,Surfing,Unprovoked
19-Dec-2007,2007,BRITISH VIRGIN ISLANDS,Green Bay,,Scuba diving,Shark bites were post-mortem,,Invalid,,,,,2000,M,53,45–59,Unknown,Diving/Snorkeling,Questionable
18-Dec-2007,2007,AUSTRALIA,New South Wales,Jimmy's Beach,Surfing,Severe lacerations to right buttock,11h00,2 m shark,,,,,2000,M,31,30–44,No,Surfing,Unprovoked
15-Dec-2007,2007,AUSTRALIA,Queensland,South Stradbroke Island,Swimming,Lacerations to hand,,"""a small shark""",,,,,2000,M,,Unknown,No,Swimming/Wading,Unprovoked
14-Dec-2007,2007,AUSTRALIA,New South Wales,Bondi,Swimming,Lacerations to left forearm,20h30,Not a shark attack; it was a hoax,,,,,2000,M,34,30–44,Unknown,Swimming/Wading,Questionable
10-Dec-2007,2007,USA,Hawaii,"Waialua Bay, O'ahu",Surfing,"No injury, shark bit surfboard","""Just before 11h00""",Tiger shark,,,,,2000,M,52,45–59,No,Surfing,Unprovoked
09-Dec-2007,2007,NEW ZEALAND,South Island,Kaikoura,Surfing,"No injury, shark bit surfboard & severed leash",,,,,,,2000,F,,Unknown,No,Surfing,Unprovoked
07-Dec-2007,2007,BRAZIL,Pernambuco,Itamaracá,Removing fish from a trap,20 cm injury to left foot,,2.27 m shark,,,,,2000,M,28,18–29,No,Fishing,Unprovoked
18-Nov-2007,2007,AUSTRALIA,Western Australia,In a tidal creek 5 km from Wickham,Fishing,Minor injury to finger by netted shark PROVOKED INCIDENT,,reef shark,,,,,2000,M,32,30–44,No,Fishing,Provoked
08-Nov-2007,2007,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing,"No injury, teethmarks in board & torn wetsuit",14h20,,,,,,2000,M,,Unknown,No,Surfing,Unprovoked
07-Nov-2007,2007,SOUTH AFRICA,Western Cape Province,The Strand,Surfing,Lacerations to feet,17h30,1.5 to 2 m shark,,,,,2000,M,14,0–17,No,Surfing,Unprovoked
06-Nov-2007,2007,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Cut to right knee,11h115,4' to 5' shark,,,,,2000,M,21,18–29,No,Surfing,Unprovoked
04-Nov-2007,2007,USA,Florida,"Round Island Park, Indian River County",Surfing,Lacerations to right leg,09h00,5' shark,,,,,2000,M,42,30–44,No,Surfing,Unprovoked
03-Nov-2007,2007,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Surfing,Lacerations to thigh,08h45,"White shark, 3m to 4m",,,,,2000,M,37,30–44,No,Surfing,Unprovoked
November 2011,2007,MEXICO,Baja California,Guadalupe Island,Shark diving,White shark breached cage. No injury to occupants,,Invalid,,,,,2000,M,,Unknown,Unknown,Diving/Snorkeling,Questionable
29-Oct-2007,2007,USA,Hawaii,"Wailea, Maui",Floating,Lacerations to left lower leg,15h30,Tiger shark,,,,,2000,M,32,30–44,No,Swimming/Wading,Unprovoked
15-Oct-2007,2007,AUSTRALIA,New South Wales,Byron Bay,Surf-skiing,small laceration to wrist,11h30,"White shark, 2.5m",,,,,2000,F,52,45–59,No,Surfing,Unprovoked
13-Oct-2007,2007,AUSTRALIA,Queensland,Holmes Reef,Spearfishing,Laceration to calf,12h00,Bronze whaler shark,,,,,2000,M,31,30–44,No,Fishing,Unprovoked
07-Oct-2007,2007,USA,California,"Venice Pier, Venice, Los Angeles County",Surfing,4 scratches on left hand,20h30,3' to 4' shark,,,,,2000,M,22,18–29,No,Surfing,Unprovoked
06-Oct-2007,2007,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,Severe lacerations to right hand,08h10,"Blacktip shark, 5'",,,,,2000,M,16,0–17,No,Surfing,Unprovoked
30-Sep-2007,2007,USA,California,"Santa Monica, Los Angeles County",Surfing,Puncture wound to foot,11h30,,,,,,2000,M,,Unknown,No,Surfing,Unprovoked
30-Sep-2007,2007,PHILIPPINES,Palawan,Off Cagayancillo,"The 426-ton cargo ship Mia, laden with cement, capsized in heavy seas","FATAL Only 4 of the 18 on board were rescued, some of the missing were allegedly killed by sharks",14h40,,,,,,2000,M,,Unknown,Yes,Boating,Sea disaster
30-Sep-2007,2007,NEW CALEDONIA,Loyalty Islands,"Bay of Luengoni, Lifou Island",Swimming,FATAL,Early morning,White shark,,,,,2000,F,23,18–29,Yes,Swimming/Wading,Unprovoked
28-Sep-2007,2007,BAHAMAS,Grand Bahama Island,Sweetings Cay,Spearfishing,Thigh bitten,12h00,Caribbean reef shark,,,,,2000,F,48,45–59,No,Fishing,Unprovoked
27-Sep-2007,2007,USA,California,"Moonstone Beach, Humboldt County",Surfing,"No injury to surfer, surfboard bitten",08h15,White shark,,,,,2000,F,,Unknown,No,Surfing,Unprovoked
27-Sep-2007,2007,EGYPT,Red Sea,Daedalus Reef,Swimming,"Severe lacerations to lower left leg, ankle and foot",07h00,Oceanic whitetip sharks were in the vicinity,,,,,2000,F,18,18–29,No,Swimming/Wading,Unprovoked
22-Sep-2007,2007,USA,Florida,Jupiter Inlet,Scuba diving,Shark involvement prior to death unconfirmed,,Shark involvement prior to death was not confirmed,,,,,2000,F,,Unknown,Unknown,Diving/Snorkeling,Questionable
22-Sep-2007,2007,USA,Florida,Huguenot Park,Surfing,Laceration to foot,,4' shark,,,,,2000,F,,Unknown,No,Surfing,Unprovoked
20-Sep-2007,2007,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Small lacerations to bottom of right big toe,18h20,3' shark,,,,,2000,M,23,18–29,No,Surfing,Unprovoked
17-Sep-2007,2007,SOLOMON ISLANDS,Marovo Lagoon,Kicha Island,Spearfishing,Left thigh bitten,Dusk,Gray reef shark,,,,,2000,M,,Unknown,No,Fishing,Unprovoked
16-Sep-2007,2007,USA,Florida,"New Smyrna Beach, Volusia County",Wading?,Laceration to right heel,11h15,,,,,,2000,M,56,45–59,No,Swimming/Wading,Unprovoked
16-Sep-2007,2007,USA,Florida,"Flagler Beach, Flagler County",Surfing,"No injury, surfboard bitten",Early morning,9.5' shark?,,,,,2000,F,,Unknown,No,Surfing,Unprovoked
13-Sep-2007,2007,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Snorkeling,"Minor injury, shark latched onto his abdomen",16h00,"Nurse shark, 2' to 3'",,,,,2000,M,14,0–17,No,Diving/Snorkeling,Unprovoked
08-Sep-2007,2007,USA,Florida,"Pepper Park Beach, St. Lucie County",Wading,Puncture wounds & 2-inch laceration to calf,11h45,,,,,,2000,F,58,45–59,No,Swimming/Wading,Unprovoked
05-Sep-2007,2007,USA,Florida,"Daytona Beach, Volusia County",Wading,Laceration to right big toe,13h42,,,,,,2000,F,36,30–44,No,Swimming/Wading,Unprovoked
04-Sep-2007,2007,USA,South Carolina,Sullivan's Island,Standing,Lacerations to left calf and both feet,18h30,,,,,,2000,M,15,0–17,No,Other/Unknown,Unprovoked
03-Sep-2007,2007,USA,Florida,"Daytona Beach, Volusia County",Jumping,Tiny punctures to arm,Morning,"18"" to 24"" shark",,,,,2000,F,12,0–17,No,Other/Unknown,Unprovoked
03-Sep-2007,2007,USA,Florida,"Fort Lauderdale, Broward County",Swimming,"3"" laceration to left forearm",09h45,Possibly a spinner shark,,,,,2000,M,58,45–59,No,Swimming/Wading,Unprovoked
28-Aug-2007,2007,USA,Hawaii,"Ka'a'awa, Oahu",Body boarding,Laceration to right heel,16h30,"Tiger shark, 10' to 12'",,,,,2000,M,15,0–17,No,Surfing,Unprovoked
28-Aug-2007,2007,USA,California,"Marina State Beach, Monterey County",Surfing,Lacerations to thigh & torso,10h45,"White shark, 12'",,,,,2000,M,24,18–29,No,Surfing,Unprovoked
26-Aug-2007,2007,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Left hand bitten,14h00,3' shark,,,,,2000,M,54,45–59,No,Surfing,Unprovoked
25-Aug-2007,2007,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,6 lacerations to left hand,Morning,3' shark,,,,,2000,M,27,18–29,No,Surfing,Unprovoked
22-Aug-2007,2007,USA,North Carolina,North Carolina Aquarium at Fort Fisher,Diving,Minor injury from captive shark PROVOKED INCIDENT,,Sand shark,,,,,2000,M,,Unknown,No,Diving/Snorkeling,Provoked
20-Aug-2007,2007,USA,Delaware,"Indian River Inlet, Rehoboth Beach",Fishing,Forearm bitten by hooked shark PROVOKED INCIDENT,19h45,Sandtiger shark,,,,,2000,M,,Unknown,No,Fishing,Provoked
19-Aug-2007,2007,USA,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County",Swimming,Torso bitten,20h15,,,,,,2000,M,52,45–59,No,Swimming/Wading,Unprovoked
19-Aug-2007,2007,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Foot bitten,12h39,4' to 5' shark,,,,,2000,M,16,0–17,No,Surfing,Unprovoked
19-Aug-2007,2007,USA,South Carolina,"Lakewood Campground, Grand Strand, Horry County",Playing,Right calf bitten,10h00,,,,,,2000,M,7,0–17,No,Other/Unknown,Unprovoked
15-Aug-2007,2007,USA,Florida,Sarasota Bay,Floating near boat & observing bioluminesce,Puncture wounds to torso,Night,Possibly a 6' bull shark,,,,,2000,M,20,18–29,No,Swimming/Wading,Unprovoked
12-Aug-2007,2007,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,"Minor injury, small lacerations to right foot",17h35,,,,,,2000,F,15,0–17,No,Swimming/Wading,Unprovoked
11-Aug-2007,2007,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Walking out of the water after surfing,"Minor injury, lacerations to left ankle & foot",18h00,,,,,,2000,M,19,18–29,No,Surfing,Unprovoked
09-Aug-2007,2007,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,Lacerations to right foot,16h40,,,,,,2000,M,30,30–44,No,Swimming/Wading,Unprovoked
09-Aug-2007,2007,USA,South Carolina,"Isle of Palms, Charleston County",Boogie Boarding,Lacerations to lower leg & ankle,14h00,,,,,,2000,M,9,0–17,No,Surfing,Unprovoked
07-Aug-2007,2007,USA,Florida,"Islamorada, Monroe County",Jumped into the water,Lacerations to arm,Afternoon,Possibly a 10' bull shark,,,,,2000,F,19,18–29,No,Other/Unknown,Unprovoked
29-Jul-2007,2007,USA,Florida,"Ponce Inlet, Volusia County",Surfing,Minor injury to shoulder,Afternoon,,,,,,2000,M,51,45–59,No,Surfing,Unprovoked
28-Jul-2007,2007,USA,California,"Imperial Beach, San Diego County",Surfing,"No injury, shark bit surfboard",23h00,,,,,,2000,M,20,18–29,No,Surfing,Unprovoked
22-Jul-2007,2007,USA,California,"Malibu, Los Angeles County",Surf paddling,"No injury, surfboard bumped by shark for 20 minutes",,"White shark, 12'",,,,,2000,M,,Unknown,No,Surfing,Unprovoked
21-Jul-2007,2007,USA,California,"Bean Hollow State Beach, San Mateo County",Kayak Fishing,"No injury, kayak bitten",10h15,White shark,,,,,2000,M,,Unknown,No,Fishing,Watercraft
19-Jul-2007.b,2007,USA,Hawaii,"Bellows Beach near Wailea Point, O’ahu",Snorkeling,Left calf severely bitten,15h15,,,,,,2000,M,36,30–44,No,Diving/Snorkeling,Unprovoked
19-Jul-2007.a,2007,AUSTRALIA,Territory of Cocos (Keeling) Islands,Direction Island,Wading,Calf bitten,11h00,"Bronze whaler shark, 1.5 m",,,,,2000,M,15,0–17,No,Swimming/Wading,Unprovoked
18-Jul-2007,2007,USA,North Carolina,"North Topsail Beach, Onslow County",Swimming,Right calf bitten,12h30,2' to 3' shark,,,,,2000,M,14,0–17,No,Swimming/Wading,Unprovoked
18-Jul-2007,2007,NORWAY,Oslo Fjord,Sjøstrand,Scuba diving,PROVOKED INCIDENT No injury. Diver touched 'dead' shark; shark bit his equipment-covered arm,,"3' small spotted catshark, Scyliorhinus canicula",,,,,2000,M,48,45–59,No,Diving/Snorkeling,Provoked
17-Jul-2007,2007,USA,California,"Faria Beach, Ventura County",Swimming,Foot injured. Shark involvment uncomfirmed,11h00,Shark involvement not confirmed,,,,,2000,F,43,30–44,Unknown,Swimming/Wading,Questionable
17-Jul-2007,2007,USA,North Carolina,"Atlantic Beach, Carteret County",Wading,Lacerations to right thigh & left foot,13h00,5' shark,,,,,2000,F,30,30–44,No,Swimming/Wading,Unprovoked
10-Jul-2007,2007,BAHAMAS,Abaco Islands,Allan-Pensacola Cay,Spearfishing,"Lacerations to thumb, ring and pinky fingers of right hand",11h00,"Bull shark, 5'",,,,,2000,F,48,45–59,No,Fishing,Unprovoked
05-Jul-2007,2007,USA,Florida,"Ponce Inlet, Volusia County",Surfing,Right foot bitten,16h00,,,,,,2000,M,18,18–29,No,Surfing,Unprovoked
04-Jul-2007,2007,REUNION,,Boucan Canot,Body boarding,Minor injuries to thigh & knee,14h30,2 m shark,,,,,2000,M,17,0–17,No,Surfing,Unprovoked
Jul-2007,2007,SENEGAL,,,Murder,,,Questionable Incident,,,,,2000,Unknown,,Unknown,Unknown,Other/Unknown,Questionable
30-Jun-2007,2007,USA,Florida,Marques Island,Removing hook from shark,Lacerations to right hand by hooked shark PROVOKED INCIDENT,,"Lemon shark, 6' female",,,,,2000,M,,Unknown,No,Other/Unknown,Provoked
30-Jun-2007,2007,USA,California,"Will Rogers State Beach, Los Angeles County",Swimming,Hand bitten,10h00,,,,,,2000,F,,Unknown,No,Swimming/Wading,Unprovoked
25-Jun-2007,2007,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,6 to 8 puncture wounds to right hand,17h30,4' shark,,,,,2000,M,20,18–29,No,Surfing,Unprovoked
24-Jun-2007,2007,USA,Hawaii,"Silva's Channel, Mokuleia, O'ahu",Surfing,"No injury, board damaged",07h05,Tiger shark,,,,,2000,M,,Unknown,No,Surfing,Unprovoked
17-Jun-2007,2007,USA,Florida,"Vilano Beach, St. Johns County",Surfing,Superficial injuries to upper leg may have been caused by surfboard fin,16h30,Shark involvement not confirmed,,,,,2000,F,9,0–17,Unknown,Surfing,Questionable
12-Jun-2007,2007,USA,Florida,"Turtle Beach, Siesta Key, Sarasota County",Swimming,Right foot bitten,11h00,3' to 4' shark,,,,,2000,F,,Unknown,No,Swimming/Wading,Unprovoked
05-Jun-2007,2007,AUSTRALIA,New South Wales,"Shelly Beach, Crescent Head",Surfing,Lacerations to leg & ankle,Sunset,,,,,,2000,M,,Unknown,No,Surfing,Unprovoked
26-May-2007,2007,USA,South Carolina,Garden City,Wading,Lacerations to lower leg,17h00,,,,,,2000,F,,Unknown,No,Swimming/Wading,Unprovoked
24-May-2007,2007,USA,Virginia,"Virginia Aquarium & Marine Science Center, Virginia Beach",Reviving a sedated shark,Left shin bitten by captive shark PROVOKED INCIDENT,Morning,A 10-year-old 94-pound pregnant blacktip reef shark,,,,,2000,F,40,30–44,No,Other/Unknown,Provoked
Reported 17-May-2007,2007,ENGLAND,Kent,Folkestone,Fishing,Bitten on the nose by a hooked shark PROVOKED INCIDENT,Afternoon,"Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length",,,,,2000,M,38,30–44,No,Fishing,Provoked
16-May-2007,2007,AUSTRALIA,Western Australia,"Warra Beach, Coral Bay",Wading,Left heel & calf bitten,14h30,2.5 m shark,,,,,2000,F,38,30–44,No,Swimming/Wading,Unprovoked
12-May-2007,2007,AUSTRALIA,Victoria,Warrnambool,Surfing,"No injury, shark's fin caught his leg",17h45,10' shark,,,,,2000,M,19,18–29,No,Surfing,Unprovoked
10-May-2007,2007,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Knee bitten,16h00,4' to 5' shark,,,,,2000,F,21,18–29,No,Surfing,Unprovoked
Reported 09-May-2007,2007,SEYCHELLES,Bird Island,,Snorkeling,No injury,,"White shark, 2m",,,,,2000,M,,Unknown,No,Diving/Snorkeling,Unprovoked
08-May-2007,2007,AUSTRALIA,New South Wales,Kingscliff Beach,Swimming,Shark involvement prior to death unconfirmed,12h15,Shark involvement prior to death was not confirmed,,,,,2000,M,45,45–59,Unknown,Swimming/Wading,Questionable
07-May-2007,2007,USA,Hawaii,"Keawakapu Beach, Maui",Snorkeling,Right foot bitten,08h30,"Tiger shark, 14'",,,,,2000,F,63,60+,No,Diving/Snorkeling,Unprovoked
07-May-2007,2007,USA,Florida,Naples,Swimming,Circular bite on left thigh,08h30,6' to 8' shark,,,,,2000,M,68,60+,No,Swimming/Wading,Unprovoked
04-May-2007,2007,TURKS & CAICOS,Providenciales,,Sea Disaster,Some of the bodies recovered had been bitten by sharks,  ,,,,,,2000,Unknown,,Unknown,Yes,Other/Unknown,Sea disaster
May-2007,2007,BAHAMAS,Bimini Islands,,Shark tagging,Lacerations to right upper arm by captive shark PROVOKED INCIDENT,,"Lemon shark, >1 m",,,,,2000,F,20,18–29,No,Other/Unknown,Provoked
26-Apr-2007,2007,AUSTRALIA,Queensland,"Mornington Island, Gulf of Carpentaria",Swimming / jumping off a jetty,Lower leg & foot injured,18h00,"""a small shark""",,,,,2000,F,13,0–17,No,Swimming/Wading,Unprovoked
22-Apr-2007,2007,USA,Florida,"Hutchinson Island, St. Lucie County",Body boarding,Left foot bitten,12h30,blacktip or spinner shark,,,,,2000,M,12,0–17,No,Surfing,Unprovoked
20-Apr-2007,2007,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Lacerations to left index finger & thumb,17h00,3' to 4' shark,,,,,2000,M,24,18–29,No,Surfing,Unprovoked
Reported      13-Apr-2007,2007,USA,Florida,"Florida Keys, Monroe County",Fishing,"No injury to occupants, shark holed the transom-mounted livewell",,"Bull shark, 10'",,,,,2000,Unknown,,Unknown,No,Fishing,Watercraft
09-Apr-2007,2007,NEW CALEDONIA,South Province,Dumbéa,Surfing,Left foot bitten,16h00,Tiger shark,,,,,2000,M,26,18–29,No,Surfing,Unprovoked
01-Apr-2007,2007,USA,Florida,"New Smyrna Beach, Volusia County",Playing on a sandbar,Lacerations & puncture wounds to right calf,13h05,,,,,,2000,M,7,0–17,No,Other/Unknown,Unprovoked
31-Mar-2007,2007,USA,Florida,"Normandy Beach, Hutchinson Island, St. Lucie County",Surfing,Lacerations to right ankle,14h20,3' shark,,,,,2000,M,27,18–29,No,Surfing,Unprovoked
31-Mar-2007,2007,USA,Florida,"Waveland Beach, Hutchinson Island, St. Lucie County",,Minor cuts to right buttock & thigh,13h20,,,,,,2000,M,9,0–17,No,Other/Unknown,Unprovoked
22-Mar-2007,2007,YEMEN,Muhafazat Hadramawt,Ras-Alkalb,Murder,"FATAL, beaten & thrown overboard by smugglers, they were killed by sharks",Morning,,,,,,2000,Unknown,,Unknown,Yes,Other/Unknown,Unprovoked
21-Mar-2007,2007,USA,Florida,Jupiter Inlet,Surfing,Punctures & lacerations to right calf & calf,Evening,4' to 5' shark,,,,,2000,M,11,0–17,No,Surfing,Unprovoked
20-Mar-2007,2007,AUSTRALIA,New South Wales,South Golden Beach,Surfing,Lacerations to 3 fingers of left hand,10h00,1.5 m shark,,,,,2000,F,42,30–44,No,Surfing,Unprovoked
Reported 14-Mar-2007,2007,USA,Florida,Delray Beach,Shark fishing,Right hand bitten by hooked shark PROVOKED INCIDENT,,5' shark,,,,,2000,M,,Unknown,No,Fishing,Provoked
12-Mar-2007,2007,AUSTRALIA,Queensland,"Moore Park, north of Bundaberg",Swimming,"Bruises to arm and hand, laceration to lower leg & minor injuries to foot",15h30,2 to 2.5 m shark,,,,,2000,F,59,45–59,No,Swimming/Wading,Unprovoked
11-Mar-2007,2007,USA,Florida,"Tiger Shores Beach, Martin County",Surfing,Lacerations to right forearm & hand,13h00,,,,,,2000,M,29,18–29,No,Surfing,Unprovoked
Reported 05-Mar-2007,2007,NEW ZEALAND,Cook islans,Penhryn Island,Spearfishing,Leg bitten by shark after he shot at it & missed PROVOKED INCIDENT,,Tiger shark,,,,,2000,M,16,0–17,No,Fishing,Provoked
04-Feb-2007,2007,COSTA RICA,,,Swimming,Death due to drowning. Shark bite may have been postmortem,,Shark involvement prior to death was not confirmed,,,,,2000,M,36,30–44,Unknown,Swimming/Wading,Questionable
03-Feb-2007,2007,AUSTRALIA,New South Wales,Shelly Beach,Boogie Boarding,Lacerations to lower left leg & ankle,08h00,,,,,,2000,M,26,18–29,No,Surfing,Unprovoked
Feb-2007,2007,NEW CALEDONIA,Loyalty Islands,Ouvéa,Spearfishing,Survived,,,,,,,2000,M,,Unknown,No,Fishing,Unprovoked
25-Jan-2007,2007,NEW CALEDONIA,North Province,Kaala-Gomen,Spearfishing (free diving),Leg bitten,14h00,Tiger shark,,,,,2000,M,30,30–44,No,Fishing,Unprovoked
25-Jan-2007,2007,USA,Florida,100 miles off Ft. Myers Beach,Shrimping,"A large shark rammed boat, breaking prop shaft. No injury to occupants but boat sank several hours later",03h30,14' shark,,,,,2000,Unknown,,Unknown,No,Other/Unknown,Watercraft
23-Jan-2007,2007,AUSTRALIA,New South Wales,Cape Howe,Diving,Head & torso bitten,10h30,"White shark, 3m",,,,,2000,M,41,30–44,No,Diving/Snorkeling,Unprovoked
