date,year,country,state,location,activity,injury,time,species,unnamed_21,unnamed_22,incident_date,month,decade,sex_clean,age_numeric,age_group,fatal,activity_group,incident_type
3rd April,2026,AUSTRALIA,South Australia,Middleton Beach Fleurieu Peninsula Adelaide,Surfing,Bite wound to R ankle,?,Bronze Whaler,,,2026-04-03,April,2020,M,16,0–17,No,Surfing,Unprovoked
26th March,2026,BAHAMAS,Andros Island,Fresh Creek,Swimming,Severe injuries to R arm,1730hrs,Unknown,,,2026-03-26,March,2020,F,22,18–29,No,Swimming/Wading,Unprovoked
25th March,2026,AUSTRALIA,South Australia,Cape Jaffa Limestone Coast,Diving,,?,Great White Shark 3.5m (11.5ft),,,2026-03-25,March,2020,M,,Unknown,No,Diving/Snorkeling,Unprovoked
22nd-23rd March,2026,AUSTRALIA,NSW,Little Avalon Beach,Surfing,Graze injuries R leg and ankle,?,Unknown,,,,,2020,M,30,30–44,No,Surfing,Unprovoked
18th March,2026,USA,California,Big River Beach Mendocino County,Surfing,Injuries to both legs and feet,1715hrs,Great White Shark,,,2026-03-18,March,2020,M,39,30–44,No,Surfing,Unprovoked
14th March,2026,AUSTRALIA,Western Australia,Exmouth,Swimming,Minor injuries,1015hrs,Unknown shark 5ft (1.5m),,,2026-03-14,March,2020,F,,Unknown,No,Swimming/Wading,Unprovoked
10th March,2026,AUSTRALIA,Western Australia,Exmouth,Wing Foiling,None reported damage to board,0800hrs,Great White Shark 10ft (3m),,,2026-03-10,March,2020,M,,Unknown,No,Other/Unknown,Unprovoked
5th March,2026,AUSTRALIA,Queensland,Lady Elliott Island,Snorkeling,Lacerations elbow and abdomen,0815hrs,Unknown,,,2026-03-05,March,2020,M,50,45–59,No,Diving/Snorkeling,Unprovoked
22nd February,2026,NEW CALEDONIA,Noumea,Anse Vata near Point Magnin,Wing Foiling,Deep wounds arms and legs,?,Tiger or bull shark implicated,,,2026-02-22,February,2020,M,55,45–59,Yes,Other/Unknown,Unprovoked
6th February,2026,CAYMAN ISLANDS,Little Cayman Island,Caribbean Sea,Diving,Minor puncture wounds to thigh,?,Juvenile Tiger shark 7ft (2.1m),,,2026-02-06,February,2020,M,,Unknown,No,Diving/Snorkeling,Unprovoked
